"Mã nhà cung cấp","Tên nhà cung cấp"
"GIA HUY","GIA HUY"
"SUNNY","SUNNY"
"Cường Phát","Cường Phát"
"CÔNG TY TNHH AZUKI INTERNATIONAL","CÔNG TY TNHH AZUKI INTERNATIONAL"
"NCC000152","Anh Tín LG"
"KITCHENHOMES","KITCHENHOMES"
"0312460468","CÔNG TY TNHH ĐIỆN MÁY GIA KHANG"
"CÔNG TY CỔ PHẦN G5 VIỆT NAM","CÔNG TY CỔ PHẦN G5 VIỆT NAM"
"CHEFZONE","CHEFZONE"
"Mỹ Lan","Mỹ Lan"
"Lượng sunhouse","Lượng sunhouse"
"Hương Thuỷ","Hương Thuỷ"
"0900221322","CÔNG TY CP SẢN XUẤT VÀ THƯƠNG MẠI AN PHÁT"
"Duyên Thành Phát - ANH ĐỨC THÀNH PHÁT","Duyên Thành Phát - ANH ĐỨC THÀNH PHÁT"
"0901050711","CƯỜNG TƯ"
"0109317132","TECHZONE - UGREEN"
"0106152838","Thiết Bị Số - Điện tử Minh Thanh"
"0111122187","Đại lí Hoàng Loan - ĐM AN KHANG"
"NCC000151","Điên máy Như Thảo"
"ĐIỆN MÁY KHO","ĐIỆN MÁY KHO"
"Thế giới Bêp (Bếp Đại Phong)","Thế giới Bêp (Bếp Đại Phong)"
"ĐM Hùng Anh","Điện máy Hùng Anh"
"NCC000150","Điện máy Hoàng Gia"
"0316512614","Công ty Cổ phần Kosmen"
"PICO","PICO"
"NCC000149","Công ty TNHH Dich Vụ Đầu Tư Và Thương Mại Anh Đức"
"NCC000148","Cao Lực Eurosun"
"Phú lộc","Phúc Lộc"
"Minh Trí Thành","Minh Trí Thành"
"Blustone","Blustone"
"TCL","Huy Nghiêm TCL - Hương Thủy"
"Linco Philips","Linco Philips"
"Buchen","Buchen"
"NCC000147","Minh Hưng"
"NCC000146","Daikin VietNam - Hãng"
"NCC000145","Hãng CASPER"
"NCC000144","Điện Lạnh Nam Đồng"
"NCC000143","Quang Lục"
"NCC000142","Trí Thành"
"NCC000141","Đội Việt Điều hòa"
"NCC000140","Nguyễn Kim - Anh Hà"
"NCC000139","Điện lạnh Thịnh Phát"
"NCC000138","Lê Gia Group Gia Dụng"
"NCC000137","Điện lạnh Anh Thư"
"NCC000136","Chị Oanh Hatsu-K"
"NCC000135","Bảo Minh"
"NCC000134","ĐMMB"
"NCC000133","Điện lạnh Việt Anh"
"NCC000132","Thanh Tùng SamSung"
"NCC000131","AHB"
"NCC000130","Điện máy Thành Công"
"NCC000129","Đại Quang Minh"
"NCC000128","HIỂN HITACHI"
"NCC000127","MyHome"
"NCC000126","Điện lạnh Tân Nhật Minh"
"NCC000125","Điện lạnh Toàn Cầu"
"NCC000124","Điện máy Thiên Hà"
"NCC000123","Điện máy Chung Trang"
"NCC000122","Lioa Nhật Linh"
"NCC000121","Hoàng Long (HDMI)"
"NCC000120","O-TECH"
"NCC000119","Đại lợi"
"NCC000118","Anh Ngọc Alaska"
"NCC000117","Mạnh Tiến"
"NCC000116","Công ty cổ phần XNK & TM Lê Gia"
"NCC000115","Ngọc Nguyên ( chợ)"
"NCC000114","Nguyễn Kim - A Huy"
"NCC000113","Quỳnh LG"
"NCC000112","NGÂN PHILIPS"
"NCC000111","Điện máy An Phú"
"0108045687","Công Ty Cổ Phần Công Nghệ Kết Nối ALPHA"
"NCC000110","HỢP LONG"
"NCC000109","Nguyễn Tân Sunhouse"
"NCC000108","Hitachi (hãng)"
"NCC000107","Quang Hạnh"
"NCC000106","Điện máy Quốc Nguyên"
"NCC000105","NCC lẻ  - Linco"
"NCC000104","Anh Đức KCMG"
"NCC000103","KHANG VIỆT"
"NCC000102","Hải Đăng"
"NCC000101","BOSCH HUYỀN"
"NCC000100","Điện máy Minh Khang"
"NCC000099","Điện máy Nhà Việt"
"NCC000098","Quyết Anh"
"NCC000097","Thành bếp Nhập khẩu Châu Âu"
"NCC000096","Điện máy Ngọc Sơn"
"NCC000095","Xuân Minh"
"NCC000094","NCC lẻ - NEW (từ 21.9 nhập vào đây)"
"Fuji Air","Fuji Air"
"TTC","Công ty cổ phần đầu tư và dịch vụ thương mại TTC"
"NCC000093","Test tao NCC de nhap hang"
"NCC000092","Điện máy ECC"
"NCC000091","Kangaroo Minh Khai"
"NCC000090","Thừa kho chưa rõ nguyên nhân"
"NCC000089","LG - ELECTRONIC HÃNG"
"Thảo Nguyên HD","Thảo Nguyên HD"
"Gia dụng Sunhouse","Gia dụng Sunhouse"
"Điện máy Minh Quân","Điện máy Minh Quân"
"Điện máy Tiên Phong","Điện máy Tiên Phong"
"NCC000088","Huân Hoài Đức"
"NCC000087","CÔNG TY TNHH BẾP NHẬT MINH"
"NCC000086","Ngọc Thái Bình - Loa"
"NCC000085","Điện máy xanh (new)"
"HAILINH","NCC Hải Linh"
"NCC000084","NCC Phúc Nhật Minh ( Đức Nổ )"
"NCC000083","Hùng Phát - Tủ đông"
"NCC000082","Anh Tài - Bosch Hafele Malloca"
"NCC000081","HOÀNG ĐỨC - ĐMX"
"QUANG CẢNH","ĐIỆN MÁY QUANG CẢNH"
"TRỌNG TÍN","TRỌNG TÍN"
"NCC000080","MINH BOSCH"
"NCC000079","Công Ty TNHH Sản Xuất Tập Đoàn Đại Việt (MÁY LỌC NƯỚC)"
"NCC000078","QUẠT CN"
"ĐIỆN MÁY THC","ĐIỆN MÁY THC"
"AMARE","Amare VN"
"HOANGVUONG","HOÀNG VƯƠNG"
"DIENMAYHT","ĐIỆN MÁY HT"
"VIETHOANG","Việt Hoàng"
"MEDIA","Media"
"TRUNGNGHIA","Trung Nghĩa Thái Nguyên"
"TAHOME","TAHOME"
"THIM ĐOÀN","THIM ĐOÀN"
"NCC000077","LƯƠNG BÉ"
"NCC01","NCCTEST1"
"MIG","MIG Home"
"Canzy","Công ty CP Canzy Việt Nam"
"NCCLELANANH","NCC LẺ - LAN ANH"
"NCC000076","FPT"
"KOMEX","GIA DỤNG XIAOMI (KOMEX)"
"NCC lẻ 440 Bạch Đằng","NCC lẻ 440 Bạch Đằng"
"NCC000075","Anh Hải NB Panasonic"
"NPPSPC","NPP SPC"
"Hương Anh","Hương Anh"
"NCC000074","LOAN THÚY"
"Thiết bị Điện Tử Việt Nam","Thiết bị Điện Tử Việt Nam"
"HIEUHUY","Hiếu Huy"
"NCC000073","Anh Lâm"
"NCC000072","Việt Phát"
"HANHLG","Hạnh LG"
"HANHLINHTHAIBINH","HẠNH LINH THÁI BÌNH"
"NCC000071","Anh Đức"
"Kenhbuongiadung","Kênh Buôn Gia Dụng"
"Thành Cata","Thành Cata"
"LAZADA","LAZADA"
"NCC000070","Hiền Sinh"
"THUANBACGIANG","THUẬN BẮC GIANG"
"NCC000069","Quang Dũng"
"NHUNGTHANG","Điện Máy Nhung Thắng"
"ĐỨC THỊNH","ĐỨC THỊNH"
"NCC000068","ANH THẮNG MÁY HÚT MÙI"
"NCC000067","CHỊ ÁNH QUẠT PANASONIC"
"Điện máy Minh Hiếu","Điện máy Minh Hiếu"
"VŨ LINH ANY","VŨ LINH ANY ( Sanaky Alaska )"
"Tâm Thật Tâm","Tâm Thật Tâm"
"0108665313","NAM SƠN"
"NCC000066","THẮNG BENZEN"
"NGOCNGUYENCHAU","Ngọc Nguyên Châu"
"HUNGPHATDAIKIN","Hùng Phát Daikin"
"Thắng Long Anh","Thắng Long Anh"
"Minh Tân","Minh Tân"
"SYDH","Đội Sỹ Điều hòa"
"NCC000065","Anh Dũng"
"Hùng Nguyễn","Hùng Nguyễn"
"Gia dụng SUPPO","Gia dụng SUPPO"
"THANHPHAT","THÀNH PHÁT"
"TRIỆU HÀO SAMSUNG","TRIỆU HÀO SAMSUNG"
"0302286281-027","Nguyễn Kim - Nguyễn Trãi"
"DIENMAYVIET","Điện máy Việt (Lan Anh)"
"MINHDUNG","MINH DŨNG"
"COQUOCANH","CƠ QUỐC ANH"
"PROBUY","Probuy"
"TIENNGOC","Gia Dụng Tiến Ngọc"
"TRANNAM","Trần Nam"
"NCC000064","MẠNH QUANG"
"GIADUNGTUANANH","GIA DỤNG TUẤN ANH"
"CUONGHAFELE","CƯỜNG HAFELE"
"DIENMAY88","Điện máy 88"
"NGATUAN","NGA TUẤN"
"DUNGLINH","DŨNG LINH"
"CATA","CATA"
"OSM","CT CP TM OSM Viet Nam"
"NCC000063","Hoàng Vinh"
"HOANGPHAT","HOÀNG PHÁT"
"GIAVIET","Điện máy Gia Việt"
